T_heat_setpoint,T_cool_setpoint,OAT (Kelvin),OAT (deg C)
15,18.5,296.3083333,23.15833333
15,18.5,296.3,23.15
15,18.5,296.2916667,23.14166667
15,18.5,296.2833333,23.13333333
15,18.5,296.275,23.125
15,18.5,296.2666667,23.11666667
15,18.5,296.2583333,23.10833333
15,18.5,296.25,23.1
15,18.5,296.2416667,23.09166667
15,18.5,296.2333333,23.08333333
15,18.5,296.225,23.075
15,18.5,296.2166667,23.06666667
15,18.5,296.2083333,23.05833333
15,18.5,296.2,23.05
15,18.5,296.1916667,23.04166667
15,18.5,296.1833333,23.03333333
15,18.5,296.175,23.025
15,18.5,296.1666667,23.01666667
15,18.5,296.1583333,23.00833333
15,18.5,296.15,23
15,18.5,296.1416667,22.99166667
15,18.5,296.1333333,22.98333333
15,18.5,296.125,22.975
15,18.5,296.1166667,22.96666667
15,18.5,296.1083333,22.95833333
15,18.5,296.1,22.95
15,18.5,296.0916667,22.94166667
15,18.5,296.0833333,22.93333333
15,18.5,296.075,22.925
15,18.5,296.0666667,22.91666667
15,18.5,296.0583333,22.90833333
15,18.5,296.05,22.9
15,18.5,296.0416667,22.89166667
15,18.5,296.0333333,22.88333333
15,18.5,296.025,22.875
15,18.5,296.0166667,22.86666667
15,18.5,296.0083333,22.85833333
15,18.5,296,22.85
15,18.5,295.9916667,22.84166667
15,18.5,295.9833333,22.83333333
15,18.5,295.975,22.825
15,18.5,295.9666667,22.81666667
15,18.5,295.9583333,22.80833333
15,18.5,295.95,22.8
15,18.5,295.94,22.79
15,18.5,295.93,22.78
15,18.5,295.92,22.77
15,18.5,295.91,22.76
15,18.5,295.9,22.75
15,18.5,295.89,22.74
15,18.5,295.88,22.73
15,18.5,295.87,22.72
15,18.5,295.86,22.71
15,18.5,295.85,22.7
15,18.5,295.84,22.69
15,18.5,295.83,22.68
15,18.5,295.82,22.67
15,18.5,295.81,22.66
15,18.5,295.8,22.65
15,18.5,295.79,22.64
15,18.5,295.78,22.63
15,18.5,295.77,22.62
15,18.5,295.76,22.61
15,18.5,295.75,22.6
15,18.5,295.74,22.59
15,18.5,295.73,22.58
15,18.5,295.72,22.57
15,18.5,295.71,22.56
15,18.5,295.7,22.55
15,18.5,295.69,22.54
15,18.5,295.68,22.53
15,18.5,295.67,22.52
15,18.5,295.66,22.51
15,18.5,295.65,22.5
15,18.5,295.64,22.49
15,18.5,295.63,22.48
15,18.5,295.62,22.47
15,18.5,295.61,22.46
15,18.5,295.6,22.45
15,18.5,295.59,22.44
15,18.5,295.58,22.43
15,18.5,295.57,22.42
15,18.5,295.56,22.41
15,18.5,295.55,22.4
15,18.5,295.54,22.39
15,18.5,295.53,22.38
15,18.5,295.52,22.37
15,18.5,295.51,22.36
15,18.5,295.5,22.35
15,18.5,295.49,22.34
15,18.5,295.48,22.33
15,18.5,295.47,22.32
15,18.5,295.46,22.31
15,18.5,295.45,22.3
15,18.5,295.44,22.29
15,18.5,295.43,22.28
15,18.5,295.42,22.27
15,18.5,295.41,22.26
15,18.5,295.4,22.25
15,18.5,295.39,22.24
15,18.5,295.38,22.23
15,18.5,295.37,22.22
15,18.5,295.36,22.21
15,18.5,295.35,22.2
15,18.5,295.36,22.21
15,18.5,295.37,22.22
15,18.5,295.38,22.23
15,18.5,295.39,22.24
15,18.5,295.4,22.25
15,18.5,295.41,22.26
15,18.5,295.42,22.27
15,18.5,295.43,22.28
15,18.5,295.44,22.29
15,18.5,295.45,22.3
15,18.5,295.46,22.31
15,18.5,295.47,22.32
15,18.5,295.48,22.33
15,18.5,295.49,22.34
15,18.5,295.5,22.35
15,18.5,295.51,22.36
15,18.5,295.52,22.37
15,18.5,295.53,22.38
15,18.5,295.54,22.39
15,18.5,295.55,22.4
15,18.5,295.56,22.41
15,18.5,295.57,22.42
15,18.5,295.58,22.43
15,18.5,295.59,22.44
15,18.5,295.6,22.45
15,18.5,295.61,22.46
15,18.5,295.62,22.47
15,18.5,295.63,22.48
15,18.5,295.64,22.49
15,18.5,295.65,22.5
15,18.5,295.66,22.51
15,18.5,295.67,22.52
15,18.5,295.68,22.53
15,18.5,295.69,22.54
15,18.5,295.7,22.55
15,18.5,295.71,22.56
15,18.5,295.72,22.57
15,18.5,295.73,22.58
15,18.5,295.74,22.59
15,18.5,295.75,22.6
15,18.5,295.76,22.61
15,18.5,295.77,22.62
15,18.5,295.78,22.63
15,18.5,295.79,22.64
15,18.5,295.8,22.65
15,18.5,295.81,22.66
15,18.5,295.82,22.67
15,18.5,295.83,22.68
15,18.5,295.84,22.69
15,18.5,295.85,22.7
15,18.5,295.86,22.71
15,18.5,295.87,22.72
15,18.5,295.88,22.73
15,18.5,295.89,22.74
15,18.5,295.9,22.75
15,18.5,295.91,22.76
15,18.5,295.92,22.77
15,18.5,295.93,22.78
15,18.5,295.94,22.79
15,18.5,295.95,22.8
15,17,295.9683333,22.81833333
15,17,295.9866667,22.83666667
15,17,296.005,22.855
15,17,296.0233333,22.87333333
15,17,296.0416667,22.89166667
15,17,296.06,22.91
15,17,296.0783333,22.92833333
15,17,296.0966667,22.94666667
15,17,296.115,22.965
15,17,296.1333333,22.98333333
15,17,296.1516667,23.00166667
15,17,296.17,23.02
15,17,296.1883333,23.03833333
15,17,296.2066667,23.05666667
15,17,296.225,23.075
15,17,296.2433333,23.09333333
15,17,296.2616667,23.11166667
15,17,296.28,23.13
15,17,296.2983333,23.14833333
