Time(min),temp
404,21.04833333
405,21.08666667
406,21.125
407,21.16333333
408,21.20166667
409,21.24
410,21.27833333
411,21.31666667
412,21.355
413,21.39333333
414,21.43166667
415,21.47
416,21.50833333
417,21.54666667
418,21.585
419,21.62333333
420,21.66166667
421,21.7
422,21.72666667
423,21.75333333
424,21.78
425,21.80666667
426,21.83333333
427,21.86
428,21.88666667
429,21.91333333
430,21.94
431,21.96666667
432,21.99333333
433,22.02
434,22.04666667
435,22.07333333
436,22.1
437,22.12666667
438,22.15333333
439,22.18
440,22.20666667
441,22.23333333
442,22.26
443,22.28666667
444,22.31333333
445,22.34
446,22.36666667
447,22.39333333
448,22.42
449,22.44666667
450,22.47333333
451,22.5
452,22.52666667
453,22.55333333
454,22.58
455,22.60666667
456,22.63333333
457,22.66
458,22.68666667
459,22.71333333
460,22.74
461,22.76666667
462,22.79333333
463,22.82
464,22.84666667
465,22.87333333
466,22.9
467,22.92666667
468,22.95333333
469,22.98
470,23.00666667
471,23.03333333
472,23.06
473,23.08666667
474,23.11333333
475,23.14
476,23.16666667
477,23.19333333
478,23.22
479,23.24666667
480,23.27333333
481,23.3
482,23.31833333
483,23.33666667
484,23.355
485,23.37333333
486,23.39166667
487,23.41
488,23.42833333
489,23.44666667
490,23.465
491,23.48333333
492,23.50166667
493,23.52
494,23.53833333
495,23.55666667
496,23.575
497,23.59333333
498,23.61166667
499,23.63
500,23.64833333
501,23.66666667
502,23.685
503,23.70333333
504,23.72166667
505,23.74
506,23.75833333
507,23.77666667
508,23.795
509,23.81333333
510,23.83166667
511,23.85
512,23.86833333
513,23.88666667
514,23.905
515,23.92333333
516,23.94166667
517,23.96
518,23.97833333
519,23.99666667
520,24.015
521,24.03333333
522,24.05166667
523,24.07
524,24.08833333
525,24.10666667
526,24.125
527,24.14333333
528,24.16166667
529,24.18
530,24.19833333
531,24.21666667
532,24.235
533,24.25333333
534,24.27166667
535,24.29
536,24.30833333
537,24.32666667
538,24.345
539,24.36333333
540,24.38166667
541,24.4
542,24.42833333
543,24.45666667
544,24.485
545,24.51333333
546,24.54166667
547,24.57
548,24.59833333
549,24.62666667
550,24.655
551,24.68333333
552,24.71166667
553,24.74
554,24.76833333
555,24.79666667
556,24.825
557,24.85333333
558,24.88166667
559,24.91
560,24.93833333
561,24.96666667
562,24.995
563,25.02333333
564,25.05166667
565,25.08
566,25.10833333
567,25.13666667
568,25.165
569,25.19333333
570,25.22166667
571,25.25
572,25.27833333
573,25.30666667
574,25.335
575,25.36333333
576,25.39166667
577,25.42
578,25.44833333
579,25.47666667
580,25.505
581,25.53333333
582,25.56166667
583,25.59
584,25.61833333
585,25.64666667
586,25.675
587,25.70333333
588,25.73166667
589,25.76
590,25.78833333
591,25.81666667
592,25.845
593,25.87333333
594,25.90166667
595,25.93
596,25.95833333
597,25.98666667
598,26.015
599,26.04333333
600,26.07166667
601,26.1
602,26.1
603,26.1
604,26.1
605,26.1
606,26.1
607,26.1
608,26.1
609,26.1
610,26.1
611,26.1
612,26.1
613,26.1
614,26.1
615,26.1
616,26.1
617,26.1
618,26.1
619,26.1
620,26.1
621,26.1
622,26.1
623,26.1
624,26.1
625,26.1
626,26.1
627,26.1
628,26.1
629,26.1
630,26.1
631,26.1
632,26.1
633,26.1
634,26.1
635,26.1
636,26.1
637,26.1
638,26.1
639,26.1
640,26.1
641,26.1
642,26.1
643,26.1
644,26.1
645,26.1
646,26.1
647,26.1
648,26.1
649,26.1
650,26.1
651,26.1
652,26.1
653,26.1
654,26.1
655,26.1
656,26.1
657,26.1
658,26.1
659,26.1
660,26.1
661,26.1
662,26.12833333
663,26.15666667
664,26.185
665,26.21333333
666,26.24166667
667,26.27
668,26.29833333
669,26.32666667
670,26.355
671,26.38333333
672,26.41166667
673,26.44
674,26.46833333
675,26.49666667
676,26.525
677,26.55333333
678,26.58166667
679,26.61
680,26.63833333
681,26.66666667
682,26.695
683,26.72333333
684,26.75166667
685,26.78
686,26.80833333
687,26.83666667
688,26.865
689,26.89333333
690,26.92166667
691,26.95
692,26.97833333
693,27.00666667
694,27.035
695,27.06333333
696,27.09166667
697,27.12
698,27.14833333
699,27.17666667
700,27.205
701,27.23333333
702,27.26166667
703,27.29
704,27.31833333
705,27.34666667
706,27.375
707,27.40333333
708,27.43166667
709,27.46
710,27.48833333
711,27.51666667
712,27.545
713,27.57333333
714,27.60166667
715,27.63
716,27.65833333
717,27.68666667
718,27.715
719,27.74333333
720,27.77166667
721,27.8
722,27.8
723,27.8
724,27.8
725,27.8
726,27.8
727,27.8
728,27.8
729,27.8
730,27.8
731,27.8
732,27.8
733,27.8
734,27.8
735,27.8
736,27.8
737,27.8
738,27.8
739,27.8
740,27.8
741,27.8
742,27.8
743,27.8
744,27.8
745,27.8
746,27.8
747,27.8
748,27.8
749,27.8
750,27.8
751,27.8
752,27.8
753,27.8
754,27.8
755,27.8
756,27.8
757,27.8
758,27.8
759,27.8
